Latitude,Longitude,Depth
37.1935,-118.90617,-0.417
36.56967,-121.15434,-0.363
35.72367,-121.17284,-0.361
36.57767,-121.1605,-0.305
36.5465,-121.11467,-0.282
36.56667,-121.152,-0.282
37.1135,-121.25467,-0.253
36.72533,-121.367,-0.195
36.653,-121.27317,-0.028
36.3965,-120.94317,0.831
36.80733,-121.39,0.9
36.68983,-121.27084,1.185
37.27717,-121.665,1.198
37.026,-121.2205,1.318
36.51083,-121.145,1.386
37.41333,-121.82433,1.465
37.18833,-121.20483,1.594
37.18133,-121.01033,1.713
36.91717,-121.675,1.876
37.29333,-121.68217,2.019
36.9635,-121.58833,2.025
36.6915,-121.27216,2.076
36.9995,-121.674,2.185
36.3865,-120.966,2.364
36.98067,-121.61916,2.389
36.53717,-121.15567,2.417
37.22467,-121.614,2.441
36.96817,-121.60433,2.524
36.5845,-121.1975,2.534
37.28983,-121.66734,2.548
37.08133,-121.12083,2.671
35.0165,-120.84267,2.78
36.49917,-121.07733,2.911
37.28817,-121.66783,2.917
36.5785,-121.10667,2.989
36.5405,-121.11467,3.058
37.43217,-121.83583,3.135
36.80684,-121.361,3.272
36.89,-121.43383,3.274
36.97917,-121.6275,3.309
36.82583,-121.53467,3.353
36.69233,-121.27517,3.62
36.95833,-121.57117,3.625
37.4225,-121.8105,3.725
36.9955,-121.65567,3.737
36.95984,-121.57917,3.845
36.926,-121.42316,3.865
37.30883,-121.6615,3.872
36.97867,-121.62417,3.899
37.0705,-121.50217,3.922
36.96267,-121.588,3.933
36.00717,-121.68983,3.962
35.63433,-120.75716,3.98
37.11733,-121.571,4.021
36.96417,-121.5915,4.025
35.4195,-121.109,4.05
35.4015,-120.58783,4.06
36.96567,-121.59834,4.109
36.53867,-121.16033,4.277
35.92317,-120.73583,4.352
35.848,-120.38116,4.376
36.55883,-121.14983,4.425
36.915,-121.52766,4.43
36.78767,-120.9975,4.48
36.98217,-121.47767,4.503
35.18383,-120.96933,4.503
37.2475,-121.6355,4.511
36.46283,-121.04784,4.541
35.48417,-121.01167,4.585
36.20984,-121.03567,4.6
36.9845,-121.63067,4.609
36.77017,-121.4845,4.613
36.99033,-121.6525,4.649
37.14133,-121.57233,4.651
36.69733,-121.33417,4.666
38.19067,-122.14233,4.673
36.98017,-121.63067,4.719
36.0085,-120.5615,4.722
38.17216,-123.20567,4.792
36.71433,-122.162,4.823
36.49667,-121.87733,4.824
35.78283,-120.45084,4.846
36.91516,-121.33916,4.854
36.597,-121.04066,4.932
37.50117,-121.9005,4.949
36.81367,-121.52583,4.95
36.56833,-121.11517,4.959
36.54617,-121.12434,4.98
37.1405,-121.55317,5.031
36.65067,-121.26984,5.036
37.36483,-121.73016,5.073
37.10817,-121.54617,5.121
36.83433,-121.54467,5.143
37.255,-121.63683,5.161
37.52333,-121.67416,5.174
36.62683,-121.21633,5.184
37.16583,-121.58083,5.217
36.84583,-121.56433,5.371
37.2895,-122.26466,5.431
36.871,-121.60367,5.431